RutaID,Lat,Lon
1,43.1845590046959,-2.9110166905295
1,43.1992236395342,-2.87064911832358
1,43.2005740831924,-2.83985498046591
1,43.1943073841485,-2.80633651530634
1,43.1885471014763,-2.76127024845013
1,43.1873022290814,-2.73085109056923
1,43.1967762318134,-2.69123347831685
1,43.1977890645571,-2.66813787492359
1,43.1562431105821,-2.49819620180057
1,43.1346365548707,-2.52044237777575
1,43.112861193702,-2.54653782098314
1,43.1018047076604,-2.56343480981904
1,43.0514808699074,-2.59365503277086
1,42.9956287891335,-2.63232375014064
1,42.9623960968147,-2.62565068814198
1,42.9506011547499,-2.60058071740036
1,42.9417391396529,-2.56743723221755
1,42.9213142221424,-2.56273853756726
2,43.3049987129525,-2.75209468396004
2,43.2382803915385,-2.50929244593728
2,43.2439774400166,-2.49699468428712
2,43.231612847386,-2.42610848673576
2,43.2237004308384,-2.31250536965334
2,43.2304103120601,-2.27711200460993
2,43.2279205672702,-2.21627368884812
2,43.2350736306696,-2.11196849360172
2,43.2390193903809,-2.08079937576729
2,43.2308325971129,-2.03225882165564
2,43.2330270680574,-1.98221834763693
2,43.2345463171729,-1.94757494254706
2,43.2682221916695,-1.88533617434272
2,43.3172379228335,-1.76733276500364
2,43.3302145030991,-1.7654578651198
3,43.3440351106511,-1.74433662907493
3,43.3193268225148,-1.7785055867235
3,43.3231670109629,-1.80854976462763
3,43.3095152088681,-1.8258217334403
3,43.3079959597527,-1.86046513853018
3,43.3123425645726,-1.87896151473769
3,43.313249826053,-1.91707920708301
3,43.3078903884895,-1.92167843426875
3,43.3002732457874,-1.91895410696684
3,43.2848701549259,-1.91735471959523
3,43.2580729671083,-1.94035085552395
3,43.209500418122,-1.98944243466004
3,43.1847921299857,-2.02361139230862
3,43.1744108657732,-2.02511131221568
3,43.1427606567638,-2.04115887363351
3,43.1187275904566,-2.05993076235325
3,43.1040629556183,-2.10029833455917
3,43.0952641747153,-2.12451887788272
3,43.0842076886737,-2.14141586671862
3,43.0703870811217,-2.1625371027635
3,43.0669477377822,-2.18215841890131
3,43.0662725159531,-2.19755548783015
3,43.0673485828908,-2.23182391294326
3,43.0850093788909,-2.24074685480251
3,43.0919512997639,-2.25886825103326
3,43.0966355154984,-2.26966609277635
3,43.0726024491911,-2.28843798149608
3,43.0416274620109,-2.28908847398508
3,43.0237978605535,-2.28401479935803
3,43.0035417485003,-2.27546683747554
3,42.9808591258512,-2.26344458833761
3,42.9688953783292,-2.24222388482819
3,42.9655616062529,-2.20063190522743
3,42.9515089590496,-2.16823837999815
3,42.9414653057516,-2.16203976544081
4,42.730653072119,-2.91157562349294
4,42.7490946612113,-2.84388820068479
4,42.7703636060082,-2.82934055917403
4,42.7864419186988,-2.8155428776168
4,42.8006001371653,-2.78672310710751
4,42.840036294334,-2.76955060575938
4,42.8567898288537,-2.74035585527331
4,42.8756322630547,-2.72233392650711
4,42.8906345088075,-2.67426781983677
4,42.8764130561469,-2.64572356183971
4,42.8781011107196,-2.60723088951762
4,42.8872375025372,-2.57531181172965
4,42.8882503352808,-2.5522162083364
4,42.8917952498835,-2.47138159646002
4,42.8827644293291,-2.44208737850942
4,42.8920696266039,-2.40631903348924
4,42.8883982436131,-2.3724255883529
4,42.9028940729942,-2.33590728337919
4,42.9144569754076,-2.30746249284666
4,42.9158074190658,-2.27666835498899
4,42.9212724278925,-2.21085583206468
4,42.9468247433151,-2.15744053825506
5,42.7422159745324,-2.88313083296041
5,42.7863363474356,-2.87675617335537
5,42.7944599065095,-2.86793269896065
5,42.7946287119668,-2.86408343172844
5,42.8024146601261,-2.86295849179814
5,42.815560045849,-2.8572343246821
5,42.8285366261147,-2.85535942479826
5,42.8416820118376,-2.84963525768222
5,42.8468726439439,-2.84888529772869
5,42.8861399956553,-2.83556206361277
5,42.8937571383574,-2.83828639091467
5,42.9015430865168,-2.83716145098437
5,42.9120931561866,-2.8318122638451
5,42.9380463167179,-2.82806246407743
5,42.9480899700158,-2.83426107863478
5,42.9588088451429,-2.82506262426329
5,42.966425987845,-2.8277869515652
5,42.9742119360044,-2.8266620116349
5,42.9845932002169,-2.82516209172783
5,43.0088583061755,-2.85990496428225
5,43.0085206952609,-2.86760349874667
5,43.0151250052194,-2.89342342944182
5,42.9959449601039,-2.91914389267244
5,42.9905855225404,-2.92374311985819
5,42.977777747732,-2.92176875250981
5,42.9680717053486,-2.90787160348805
5,42.9787905804756,-2.89867314911656
5,42.9890030392309,-2.9010224964417
5,42.9990466925289,-2.90722111099905
5,43.0191339991248,-2.91961834011375
5,43.0352123118154,-2.90582065855652
5,43.0429982599748,-2.90469571862622
5,43.0563124511549,-2.89512228427797
5,43.0769061741227,-2.89597171169604
5,43.1035345564831,-2.87682484299954
5,43.1664341293931,-2.79506422612194
5,43.182681247541,-2.7774172773325
5,43.182681247541,-2.7774172773325
5,43.1980843384025,-2.77901666470411
5,43.2081279917005,-2.78521527926146
5,43.2074527698714,-2.80061234819029
5,43.2123057910631,-2.80756092270118
5,43.2147323016589,-2.81103520995662
5,43.2143946907444,-2.81873374442103
5,43.2190789064788,-2.82953158616413
5,43.2215054170747,-2.83300587341957
5,43.2232567058415,-2.85187722960384
5,43.2096049037468,-2.86914919841651
5,43.195953101652,-2.88642116722918
5,43.1458613035503,-2.97015615145516
