RutaID,X,Y,Lat,Lon
14,566,723,42.2502143342129,-2.14541400917735
14,562,726,42.2448700823111,-2.15682420900526
14,538,726,42.2412113754586,-2.2226727101942
14,564,725,42.2467531303576,-2.1511916840296
24,1770,714,42.4479628635957,1.15929214935692
24,1769,721,42.4367633268153,1.15553241267129
24,1764,723,42.4328447846034,1.14152367517042
24,1760,719,42.4385476233632,1.13112952447861
24,1752,726,42.4262809637507,1.1081639749462
24,1752,730,42.4199683405156,1.10758337543986
24,1754,727,42.4250077001797,1.1135062001687
24,1759,730,42.4210354633476,1.12678918828664
24,1754,726,42.4265858559884,1.11365135004528
24,1758,722,42.4335082636991,1.12520669974978
24,1765,727,42.4266846074871,1.14368676321363
24,1769,721,42.4367633268153,1.15553241267129
24,1776,721,42.4378304496473,1.17473822551806
24,1771,714,42.4481153097146,1.16203583690646
35,1149,707,42.3643409144472,-0.54352176977073
35,1169,730,42.331092253222,-0.491986465941402
35,1157,709,42.3624041717805,-0.521862569127588
35,1157,713,42.3560915485453,-0.522443168633927
35,1150,707,42.3644933605661,-0.540778082221191
46,1859,700,42.4836247494971,1.40551243953809
46,1834,720,42.4482504803498,1.33401725326791
46,1834,723,42.4435160129234,1.33358180363816
46,1843,718,42.4527788070371,1.35900074096693
46,1841,715,42.4572083822257,1.35394881549761
46,1845,715,42.4578181667012,1.36492356569577
46,1850,709,42.4680493321482,1.37951290270297
46,1854,719,42.4528775585357,1.38903615413528
46,1853,708,42.4700848263136,1.38788911522817
46,1860,701,42.4821990398072,1.40811097721104
84,733,680,42.3435335358403,-1.68097674371118
84,741,689,42.3305497025119,-1.66033359220413
84,726,699,42.3124814526411,-1.70294040421307
84,724,688,42.3295362743002,-1.70683113066971
84,724,698,42.3137547162122,-1.70828262943556
84,719,702,42.3066798623827,-1.7225816666896
84,720,707,42.2989415294576,-1.72056372852298
84,713,703,42.3041870298608,-1.73918894186342
84,720,711,42.2926289062224,-1.72114432802932
84,708,730,42.260814592429,-1.7568264262789
84,721,713,42.2896250407237,-1.71869094023295
84,726,701,42.3093251410235,-1.70323070396624
84,736,691,42.3266311603001,-1.674342329705
84,766,693,42.3280482322482,-1.592322002972
84,784,687,42.3402611972404,-1.54206472782079
84,776,686,42.3406197840983,-1.56386907834051
84,762,690,42.3321729151991,-1.6028613035404
84,748,686,42.3363512927703,-1.64069232972761
84,739,687,42.3334011218918,-1.66553066755004
84,735,680,42.343838428078,-1.6754893686121
84,733,681,42.3419553800315,-1.68112189358777
89,669,678,42.336933295851,-1.85628244712851
89,671,682,42.3309255648535,-1.85137567153577
89,677,681,42.3334183973755,-1.83476839636195
89,688,685,42.3287826814477,-1.80516843282336
89,683,682,42.3327549182798,-1.8184514209413
89,686,681,42.3347904124452,-1.8100752084161
89,694,687,42.3265410465433,-1.7889966072793
89,688,681,42.3350953046829,-1.80458783331702
89,691,679,42.3387089546571,-1.79606647091524
89,671,678,42.3372381880887,-1.85079507202943
91,830,677,42.3630552767957,-1.41440360177614
91,814,688,42.3432564249973,-1.4598992512112
91,814,691,42.3385219575709,-1.46033470084095
91,821,689,42.3427453920205,-1.44083858824101
91,831,677,42.3632077229146,-1.4116599142266
94,1169,676,42.416312666897,-0.484148372605818
94,1178,686,42.4019031238788,-0.460906683425816
94,1182,705,42.3725279479871,-0.452689780882772
94,1192,721,42.3488019162349,-0.42757530341274
94,1191,730,42.3344460678369,-0.431625339851543
94,1192,720,42.3503800720437,-0.427430153536155
94,1185,711,42.3635163514909,-0.445329617493665
94,1178,685,42.4034812796876,-0.460761533549231
94,1171,676,42.4166175591347,-0.47866099750674
95,765,676,42.3547244348788,-1.59259814261959
95,789,676,42.3583831417314,-1.52674964143066
102,811,672,42.3680495795814,-1.46580791583446
102,795,675,42.3608759742533,-1.51014236625684
102,793,679,42.3542584587804,-1.51621034086225
102,815,672,42.3686593640569,-1.4548331656363
104,1121,670,42.4184641880447,-0.614974475724183
104,1106,675,42.4082867172178,-0.656855538350193
104,1072,674,42.4046817049855,-0.749995765157936
104,1074,677,42.4002521297968,-0.744943839688613
104,1062,679,42.3952664647529,-0.778158390036251
104,1057,684,42.3866134551147,-0.79260257716687
104,1040,682,42.3871781827117,-0.838954965755864
104,1028,687,42.3774580502414,-0.872604965733258
104,1016,685,42.3787850084328,-0.905238916574556
104,1057,685,42.3850352993059,-0.792747727043455
104,1067,682,42.3912942279208,-0.76487540191831
104,1070,677,42.3996423453214,-0.755918589886769
104,1080,679,42.3980104948924,-0.728772014144548
104,1079,677,42.4010143603911,-0.731225401940917
104,1084,675,42.404932902603,-0.717216664440052
104,1106,676,42.406708561409,-0.657000688226778
104,1114,672,42.4142407535951,-0.634470588324126
104,1135,670,42.4205984337086,-0.576562850030637
105,1143,669,42.4233961584683,-0.554468199757739
105,1142,672,42.4185092449231,-0.557647336937033
105,1138,672,42.4178994604476,-0.568622087135189
105,1146,679,42.4080719387369,-0.54768863587497
105,1146,674,42.4159627177809,-0.546962886492046
105,1156,669,42.4253779580134,-0.518800261613731
105,1167,673,42.4207422420857,-0.489200298075142
105,1158,669,42.4256828502511,-0.513312886514653
105,1149,672,42.419576367755,-0.538441524090259
105,1144,670,42.4219704487784,-0.551869662084785
124,640,656,42.3672317861977,-1.93265608878028
124,659,673,42.3432996137064,-1.88299357324098
124,641,656,42.3673842323165,-1.92991240123074
135,1920,648,42.5749880648047,1.58042517364238
135,1927,648,42.5760551876367,1.59963098648916
139,882,645,42.4214834608578,-1.26708705314939
139,860,657,42.3991917765374,-1.32918997775827
