PuntoID,Lat,Lon
1,43.0025440862245,-2.64944890591786
2,42.9709809700486,-2.65235190344956
3,42.9548945197229,-2.65929077731449
4,42.9479721120123,-2.67084612701898
5,42.9432913392061,-2.69857330226754
6,42.9392203508754,-2.71532572731795
7,42.9322979431648,-2.72688107702244
8,42.9316881586894,-2.7378558272206
9,42.934844470307,-2.73756552746743
10,42.9342346858315,-2.74854027766559
11,42.9468599323019,-2.74737907865291
12,42.9563288671547,-2.7465081793934
13,42.9528676632994,-2.75228585424565
14,42.9453354711133,-2.7748159541483
15,42.9371934944519,-2.80832080424911
16,42.9328176138834,-2.83056060439859
17,42.9325127216457,-2.83604797949767
18,42.9382155604055,-2.84644213018948
19,42.9344494643125,-2.85770718014081
20,42.933839679837,-2.86868193033896
21,42.9320103264107,-2.90160618093343
22,42.9162287683228,-2.90305767969928
23,42.9096112528499,-2.9091256543047
24,42.9002497072376,-2.96458000480182
25,42.8907807723848,-2.96545090406133
26,42.8807020530566,-2.977296553519
27,42.8703184414907,-2.99462957807574
28,42.8690988725398,-3.01657907847205
29,42.8653327764468,-3.02784412842338
30,42.8581054764985,-3.04488685322695
31,42.8457851222658,-3.04056067714055
32,42.827152144798,-3.03681510056049
33,42.8176832099452,-3.03768599982
34,42.8082142750924,-3.03855689907951
35,42.8053628557126,-3.0333598237336
36,42.7895812976246,-3.03481132249945
37,42.7778707278674,-3.0195103962149
38,42.7684017930146,-3.02038129547441
39,42.7626989542549,-3.00998714478259
40,42.7630038464926,-3.00449976968351
41,42.771145823154,-2.9709949195827
42,42.7887567346683,-2.93661917022239
43,42.8063676461825,-2.90224342086207
44,42.8085018918465,-2.86383179516852
45,42.8134875568904,-2.83061724482088
46,42.8178634374588,-2.8083774446714
47,42.8171462637429,-2.76476874363195
48,42.8142948443631,-2.75957166828604
49,42.8155144133139,-2.73762216788973
50,42.8170388745025,-2.71018529239434
51,42.8182584434533,-2.68823579199802
52,42.813165389169,-2.66686689110805
53,42.8036964543162,-2.66773779036756
54,42.7841488001353,-2.68045433908473
55,42.761139942099,-2.69894856265416
56,42.7519758994839,-2.69433208681459
57,42.7402653297267,-2.67903116053003
58,42.7411800064398,-2.6625690352328
59,42.718780932879,-2.67008850860407
60,42.7124683096438,-2.6706691081104
61,42.7061556864086,-2.67124970761674
62,42.6903741283207,-2.67270120638259
63,42.6777488818503,-2.67386240539527
64,42.6676701625221,-2.68570805485294
65,42.6575914431939,-2.6975537043106
66,42.6521934966718,-2.68167217851971
67,42.6445539152453,-2.64961882718475
68,42.6472979453848,-2.60023245129305
69,42.6488224065733,-2.57279557579766
70,42.6374167290538,-2.55200727441402
71,42.6342604174362,-2.55229757416719
72,42.6203082127746,-2.52082482233857
73,42.6076829663042,-2.52198602135125
74,42.6054413313997,-2.50581419580719
75,42.5994336004023,-2.50090742021445
76,42.5971919654978,-2.48473559467038
77,42.5940356538802,-2.48502589442355
78,42.5883328151205,-2.47463174373174
79,42.5814104074099,-2.48618709343623
80,42.5779492035546,-2.49196476828848
81,42.5678704842264,-2.50381041774615
82,42.5580966571359,-2.51016869210473
83,42.5502595727121,-2.53818616710646
84,42.5424224882884,-2.56620364210819
85,42.5405931348621,-2.59912789270266
86,42.5431396620043,-2.60981234314765
87,42.5447715124333,-2.63695891888987
88,42.5438568357201,-2.6534210441871
89,42.5457935783869,-2.67508024483025
90,42.5514964171466,-2.68547439552206
91,42.5609653519994,-2.68460349626255
92,42.5704342868522,-2.68373259700304
93,42.5726759217566,-2.69990442254711
94,42.5771591915655,-2.73224807363524
95,42.5753298381392,-2.76517232422971
96,42.5741102691884,-2.78712182462602
97,42.553952830532,-2.81081312354135
98,42.5404129073485,-2.82843644785126
99,42.5262631996895,-2.85703452235933
100,42.5196456842166,-2.86310249696475
101,42.5041690183664,-2.85906662063152
102,42.4950049757513,-2.85445014479195
103,42.4835992982318,-2.83366184340832
104,42.4630295780973,-2.80825706618512
105,42.4604830509551,-2.79757261574013
106,42.4582414160506,-2.78140079019607
107,42.4711715547587,-2.77475221608431
108,42.4815551663246,-2.75741919152757
109,42.497946508888,-2.74499294256356
110,42.4928534546037,-2.72362404167359
111,42.490916711937,-2.70196484103045
112,42.5079178389758,-2.67856384186828
113,42.5148402466864,-2.66700849216379
114,42.521762654397,-2.65545314245929
