RutaID,Lat,Lon
1,43.3061747506676,-2.74589141308945
2,43.2543441641495,-2.58993664140284
3,43.245354879583,-2.53544810232044
4,43.2464962562093,-2.50342101099835
5,43.2417162697695,-2.48418351428767
6,43.2230243402451,-2.39522336819918
7,43.2169244011725,-2.33634172501871
8,43.2247005012561,-2.2715081070089
9,43.225699205804,-2.24348440210207
10,43.2269832545085,-2.20745392436472
11,43.2232019726166,-2.16019272274722
12,43.2275180388933,-2.11576575449653
13,43.2288020875978,-2.07973527675918
14,43.2377554682359,-2.05854919163444
15,43.229051527826,-1.99605387972151
16,43.2275889031149,-1.96041311966698
17,43.2290156238976,-1.92037925551437
18,43.2379690045358,-1.89919317038962
19,43.2557330937338,-1.86082438655539
20,43.2817372031786,-1.82128644967271
21,43.3003573248463,-1.75889734734691
22,43.3126280672131,-1.7213079988783
